-:0;100
-:1;---+-++- 3
-:2;+++++ 4
-:3;-+-+- 4
-:4;+++ 3
-:5;-+++- 3
-:6;++--+-+-- 3
-:7;++++ 3
-:8;-++- 2
-:9;--- 2
-:10;-+-+ 3
-:11;+-+- 3
-:12;+-+ 3
-:13;--+- 3
-:14;++- 3
-:15;---------- 10
-:16;+-++++-++ 5
-:17;--- 3
-:18;-- 2
-:19;+-++ 3
-:20;---+ 3
-:21;++-+ 2
-:22;--------- 3
-:23;+++ 2
-:24;++++++++++ 10
-:25;++-+ 3
-:26;-------+-- 10
-:27;-+++ 2
-:28;-+-+-+-+-+ 2
-:29;-+-- 2
-:30;---- 2
-:31;-+- 2
-:32;+-+ 2
-:33;--++ 3
-:34;------ 6
-:35;+- 2
-:36;+--+++--++ 5
-:37;+++---- 4
-:38;-+-++ 2
-:39;++-- 3
-:40;+--+--++ 5
-:41;+-+-+-+-+- 2
-:42;-++++++++- 2
-:43;-+++++++++ 2
-:44;+-+- 2
-:45;+-- 2
-:46;++----++-- 2
-:47;--+ 2
-:48;++++ 2
-:49;---++-+--- 4
-:50;-+++++++-- 2
-:51;+++- 3
-:52;+-+-+-+-+- 3
-:53;-++++- 5
-:54;-+-- 3
-:55;-----+ 5
-:56;-+-+ 2
-:57;-++ 3
-:58;---+ 2
-:59;+--- 2
-:60;++ 2
-:61;---++ 3
-:62;-+++++++-+ 2
-:63;-++++++++- 9
-:64;--+- 2
-:65;---------- 2
-:66;+-+-+-+ 3
-:67;+--+ 2
-:68;-++++++++- 8
-:69;--++ 2
-:70;-+- 3
-:71;+-++++-+- 5
-:72;++-++ 5
-:73;++++++++- 6
-:74;-++++++++- 10
-:75;+--------- 9
-:76;+--- 3
-:77;++--+-- 3
-:78;-+++--+ 4
-:79;------++ 6
-:80;+++- 2
-:81;+-++ 2
-:82;++-- 2
-:83;+--+ 3
-:84;--+ 3
-:85;+-- 3
-:86;++- 2
-:87;---------- 3
-:88;++-------- 8
-:89;++-++--+-- 2
-:90;-+++ 3
-:91;-++- 3
-:92;+++++++++ 8
-:93;--------+ 8
-:94;---------- 5
-:95;------- 4
-:96;+-+-+-+- 3
-:97;-+ 2
-:98;-++ 2
-:99;---- 3
-:100;+-+-+-+-+ 3
